nr	name	maxcp	capture	flee	stamina	attack	defense	evolve
42	Golbat	1843	20%	7%	150	161	153	169
43	Oddish	1077	60%	15%	90	131	116	44
44	Gloom	1523	30%	7%	120	153	139	45 182
45	Vileplume	2384	15%	5%	150	202	170	0
46	Paras	842	40%	15%	70	121	99	47
47	Parasect	1669	20%	7%	120	165	146	0
48	Venonat	909	50%	15%	120	100	102	49
49	Venomoth	1951	20%	7%	140	179	150	0
50	Diglett	468	50%	10%	20	109	88	51
51	Dugtrio	1343	20%	6%	70	167	147	0
52	Meowth	642	50%	15%	80	92	81	53
53	Persian	1550	20%	7%	130	150	139	0
54	Psyduck	973	50%	10%	100	122	96	55
55	Golduck	2287	20%	6%	160	191	163	0
56	Mankey	1009	50%	10%	80	148	87	57
57	Primeape	2120	20%	6%	130	207	144	0
58	Growlithe	1118	30%	10%	110	136	96	59
59	Arcanine	2859	10%	6%	180	227	166	0
60	Poliwag	700	50%	15%	80	101	82	61
61	Poliwhirl	1322	25%	7%	130	130	130	62 186
62	Poliwrath	2459	12%	5%	180	182	187	0
63	Abra	1156	50%	99%	50	195	103	64
64	Kadabra	1873	25%	7%	80	232	138	65
65	Alakazam	2907	12%	5%	110	271	194	0
66	Machop	1208	50%	10%	140	137	88	67
67	Machoke	1923	25%	7%	160	177	130	68
68	Machamp	2909	12%	5%	180	234	162	0
69	Bellsprout	923	50%	15%	100	139	64	70
70	Weepinbell	1485	25%	7%	130	172	95	71
71	Victreebel	2285	12%	5%	160	207	138	0
72	Tentacool	963	50%	15%	80	97	182	73
73	Tentacruel	2390	20%	7%	160	166	237	0
74	Geodude	1202	50%	10%	80	132	163	75
75	Graveler	1828	25%	7%	110	164	196	76
76	Golem	2937	12%	5%	160	211	229	0
77	Ponyta	1513	40%	10%	100	170	132	78
78	Rapidash	2268	15%	6%	130	207	167	0
79	Slowpoke	1212	50%	10%	180	109	109	80 199
80	Slowbro	2499	20%	6%	190	177	194	0
81	Magnemite	1091	50%	10%	50	165	128	82
82	Magneton	2253	20%	6%	100	223	182	0
83	Farfetch'd	1099	30%	9%	104	124	118	0
84	Doduo	1018	50%	10%	70	158	88	85
85	Dodrio	2154	20%	6%	120	218	145	0
86	Seel	905	50%	9%	130	85	128	87
87	Dewgong	1908	20%	6%	180	139	184	0
88	Grimer	1279	50%	10%	160	135	90	89
89	Muk	2728	20%	6%	210	190	184	0
90	Shellder	965	50%	10%	60	116	168	91
91	Cloyster	2492	20%	6%	100	186	323	0
92	Gastly	1009	40%	10%	60	186	70	93
93	Haunter	1728	20%	7%	90	223	112	94
94	Gengar	2637	10%	5%	120	261	156	0
95	Onix	1009	20%	9%	70	85	288	208
96	Drowzee	999	50%	10%	120	89	158	97
97	Hypno	2063	20%	6%	170	144	215	0
98	Krabby	1396	50%	15%	60	181	156	99
99	Kingler	2713	20%	7%	110	240	214	0
100	Voltorb	863	50%	10%	80	109	114	101
101	Electrode	1913	20%	6%	120	173	179	0
102	Exeggcute	1110	50%	10%	120	107	140	103
103	Exeggutor	2937	20%	6%	190	233	158	0
104	Cubone	950	40%	10%	100	90	165	105
105	Marowak	1703	15%	6%	120	144	200	0
106	Hitmonlee	2423	20%	9%	100	224	211	0
107	Hitmonchan	2113	20%	9%	100	193	212	0
108	Lickitung	1332	20%	9%	180	108	137	0
109	Koffing	1099	50%	10%	80	119	164	110
110	Weezing	2199	20%	6%	130	174	221	0
111	Rhyhorn	1691	50%	10%	160	140	157	112
112	Rhydon	3324	20%	6%	210	222	206	0
113	Chansey	1479	20%	9%	500	60	176	242
114	Tangela	2224	40%	9%	130	183	205	0
115	Kangaskhan	2481	20%	9%	210	181	165	0
116	Horsea	928	50%	10%	60	129	125	117
117	Seadra	1993	20%	6%	110	187	182	230
118	Goldeen	1014	50%	15%	90	123	115	119
119	Seaking	2055	20%	7%	160	175	154	0
120	Staryu	933	50%	15%	60	137	112	121
121	Starmie	2319	20%	6%	120	210	184	0
122	Mr. Mime	1998	30%	9%	80	192	233	0
123	Scyther	2481	30%	9%	140	218	170	212
124	Jynx	2530	30%	9%	130	223	182	0
125	Electabuzz	2212	30%	9%	130	198	173	0
126	Magmar	2270	30%	9%	130	206	169	0
127	Pinsir	2790	30%	9%	130	238	197	0
128	Tauros	2505	30%	9%	150	198	197	0
129	Magikarp	222	70%	15%	40	29	102	130
130	Gyarados	3304	10%	7%	190	237	197	0
131	Lapras	2621	20%	9%	260	165	180	0
132	Ditto	723	20%	10%	96	91	91	0
133	Eevee	975	40%	10%	110	104	121	134 135 136 196 197
134	Vaporeon	3179	15%	6%	260	205	177	0
135	Jolteon	2749	15%	6%	130	232	201	0
136	Flareon	2925	15%	6%	130	246	204	0
137	Porygon	1579	40%	9%	130	153	139	233
138	Omanyte	1355	40%	9%	70	155	174	139
139	Omastar	2704	15%	5%	140	207	227	0
140	Kabuto	1181	40%	9%	60	148	162	141
141	Kabutops	2535	15%	5%	120	220	203	0
142	Aerodactyl	2627	20%	9%	160	221	164	0
143	Snorlax	3379	20%	9%	320	190	190	0
144	Articuno	2954			180	192	249	0
145	Zapdos	3354			180	253	188	0
146	Moltres	3296			180	251	184	0
147	Dratini	866	40%	9%	82	119	94	148
148	Dragonair	1621	10%	6%	122	163	138	149
149	Dragonite	3607	5%	5%	182	263	201	0
150	Mewtwo	4794			212	330	200	0
151	Mew	3112			200	210	210	0
152	Chikorita	807	20%	10%	90	92	122	153
153	Bayleef	1305	12%	7%	120	122	155	154
154	Meganium	2243	5%	5%	160	168	202	0
155	Cyndaquil	837	20%	10%	78	116	96	156
156	Quilava	1494	12%	7%	116	158	129	157
157	Typhlosion	2705	5%	5%	156	223	176	0
158	Totodile	1019	20%	10%	100	117	116	159
159	Croconaw	1610	12%	7%	130	150	151	160
160	Feraligatr	2740	5%	5%	170	205	197	0
161	Sentret	522	50%	20%	70	79	77	162
162	Furret	1679	15%	7%	170	148	130	0
163	Hoothoot	645	50%	15%	120	67	101	164
164	Noctowl	2055	15%	7%	200	145	179	0
165	Ledyba	668	50%	20%	80	72	142	166
166	Ledian	1284	15%	7%	110	107	209	0
167	Spinarak	690	50%	20%	80	105	73	168
168	Ariados	1648	15%	7%	140	161	128	0
169	Crobat	2484	10%	5%	170	194	178	0
170	Chinchou	1075	40%	10%	150	106	106	171
171	Lanturn	2091	15%	7%	250	146	146	0
172	Pichu	379			40	77	63	25
173	Cleffa	625			100	75	91	35
174	Igglybuff	516			180	69	34	39
175	Togepi	544			70	67	116	176
176	Togetic	1554			110	139	191	0
177	Natu	931	40%	15%	80	134	89	178
178	Xatu	1989	15%	7%	130	192	146	0
179	Mareep	893	50%	10%	110	114	82	180
180	Flaaffy	1412	25%	7%	140	145	112	181
181	Ampharos	2714	12%	5%	180	211	172	0
182	Bellossom	2123	5%	5%	150	169	189	0
183	Marill	423	50%	10%	140	37	93	184
184	Azumarill	1513	15%	7%	200	112	152	0
185	Sudowoodo	2080	12%	5%	140	167	198	0
186	Politoed	2388	10%	5%	180	174	192	0
187	Hoppip	512	50%	12%	70	67	101	188
188	Skiploom	888	25%	7%	110	91	127	189
189	Jumpluff	1564	12%	5%	150	118	197	0
190	Aipom	1196	20%	9%	110	136	112	0
191	Sunkern	319	50%	9%	60	55	55	192
192	Sunflora	2063	10%	7%	150	185	148	0
193	Yanma	1336	30%	10%	130	154	94	0
194	Wooper	600	40%	10%	110	75	75	195
195	Quagsire	1943	15%	7%	190	152	152	0
196	Espeon	3022			130	261	194	0
197	Umbreon	2067			190	126	250	0
198	Murkrow	1402	20%	10%	120	175	87	0
199	Slowking	2499	10%	5%	190	177	194	0
200	Misdreavus	1794	30%	7%	120	167	167	0
201	Unown	1030	30%	10%	96	136	91	0
202	Wobbuffet	1031	25%	7%	380	60	106	0
203	Girafarig	1876	30%	7%	140	182	133	0
204	Pineco	1052	40%	12%	100	108	146	205
205	Forretress	2279	15%	7%	150	161	242	0
206	Dunsparce	1627	30%	20%	200	131	131	0
207	Gligar	1771	20%	7%	130	143	204	0
208	Steelix	2456	10%	5%	150	148	333	0
209	Snubbull	1132	40%	10%	120	137	89	210
210	Granbull	2458	15%	8%	180	212	137	0
211	Qwilfish	1924	30%	8%	130	184	148	0
212	Scizor	2821	5%	5%	140	236	191	0
213	Shuckle	302	30%	7%	40	17	396	0
214	Heracross	2959	30%	9%	160	234	189	0
215	Sneasel	1881	20%	7%	110	189	157	0
216	Teddiursa	1192	50%	20%	120	142	93	217
217	Ursaring	2780	15%	7%	180	236	144	0
218	Slugma	756	30%	10%	80	118	71	219
219	Magcargo	1554	12%	6%	100	139	209	0
220	Swinub	668	30%	10%	100	90	74	221
221	Piloswine	2300	12%	6%	200	181	147	0
222	Corsola	1223	30%	12%	110	118	156	0
223	Remoraid	754	50%	10%	70	127	69	224
224	Octillery	2139	15%	7%	150	197	141	0
225	Delibird	944	20%	20%	90	128	90	0
226	Mantine	2047	30%	7%	130	148	260	227
227	Skarmory	2047	20%	9%	130	148	260	0
228	Houndour	1118	40%	10%	90	152	93	229
229	Houndoom	2547	15%	6%	150	224	159	0
230	Kingdra	2441	10%	5%	150	194	194	0
231	Phanpy	1183	50%	20%	180	107	107	232
232	Donphan	3043	12%	7%	180	214	214	0
233	Porygon2	2564	5%	5%	170	198	183	0
234	Stantler	2003	30%	8%	146	192	132	0
235	Smeargle	392	25%	7%	110	40	88	0
236	Tyrogue	407			70	64	64	106 107 237
237	Hitmontop	1919	10%	5%	100	173	214	0
238	Smoochum	1239			90	153	116	124
239	Elekid	1080			90	135	110	125
240	Magby	1186			90	151	108	126
241	Miltank	2328	20%	8%	190	157	211	0
242	Blissey	3241	5%	5%	510	129	229	0
243	Raikou	3373			180	241	210	0
244	Entei	3401			230	235	176	0
245	Suicune	2843			200	180	235	0
246	Larvitar	911	40%	10%	100	115	93	247
247	Pupitar	1619	10%	7%	140	155	133	248
248	Tyranitar	3696	5%	4%	200	251	212	0
249	Lugia	3624			212	193	323	0
250	Ho-Oh	4683			212	263	301	0
251	Celebi	3112			200	210	210	0
